"publisher","journal_name","issn","type_colection","type","SJR_2015","JCR_2014"
"Abhinav","Sai Om Journal of Commerce & Management: A Peer Reviewed National Journal","2347-7563","manual","publisher",NA,NA
"Abhinav","Sai Om Journal of Commerce & Management: A Peer Reviewed International Journal","2347–7571","manual","publisher",NA,NA
"Abhinav","Sai Om Journal of Science, Engineering & Technology: A Peer Reviewed National Journal","2347-7547","manual","publisher",NA,NA
"Abhinav","Sai Om Journal of Science, Engineering & Technology: A Peer Reviewed International Journal ","2347-7555","manual","publisher",NA,NA
"Abhinav","Sai Om Journal of Arts & Education: A Peer Reviewed International Journal","2348–3520","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Agricultural Science Research","2327-3321","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Biology and Biological Sciences"," 2327-3062","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Biomedical Science Research",NA,"manual","publisher",NA,NA
"Academe Research Journals"," International Journal of Biotechnology Research","2328-3505","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Business Management and Administration","2327-3100","manual","publisher",NA,NA
"Academe Research Journals"," International Journal of Chemistry and Material Science","2327-5553","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Educational Research and Development","2327-316X","manual","publisher",NA,NA
"Academe Research Journals"," International Journal of Food Science Research",NA,"manual","publisher",NA,NA
"Academe Research Journals","International Journal of Medicinal Plants and Alternative Medicine ","2327-560X","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Medicine and Medical Science Research","2331-1819","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Microbiology and Immunology Research","2327-7769","manual","publisher",NA,NA
"Academe Research Journals","International Journal of Physical Sciences","2331-1827","manual","publisher",NA,NA
"Academe Research Journals"," International Journal of Scientific Research",NA,"manual","publisher",NA,NA
"Academe Research Journals","International Journal of Social and Behavioural Sciences","2327-719X","manual","publisher",NA,NA
"Academe Research Journals","Journal of Agricultural Economics and Development","2327-3151","manual","publisher",NA,NA
"Academe Research Journals","Journal of Anatomy and Physiological Research",NA,"manual","publisher",NA,NA
"Academe Research Journals","Journal of Pharmacy and Pharmacological Research",NA,"manual","publisher",NA,NA
"Academia Publishing","Academia Journal of Medicinal Plants (AJMP)","2315-7720","manual","publisher",NA,NA
"Academia Publishing"," 
Academia Journal of Educational Research (AJER)","2315-7704","manual","publisher",NA,NA
"Academia Publishing","Journal of Business and Economic Management (JBEM) ","2315-7755","manual","publisher",NA,NA
"Academia Publishing"," 
Academia Journal of Microbiology Research (AJMR)","2315-7771","manual","publisher",NA,NA
"Academia Publishing"," 
Academia Journal of Food Research (AJFR)","2315-7763","manual","publisher",NA,NA
"Academia Publishing"," 
Engineering and Technology",NA,"manual","publisher",NA,NA
"Academia Publishing","Academia Journal of Biotechnology (AJB)","2315-7747","manual","publisher",NA,NA
"Academia Publishing","Academia Journal of Agricultural Research (AJAR)","2315-7739","manual","publisher",NA,NA
"Academia Publishing","Medicine and Medical Sciences (MMS)",NA,"manual","publisher",NA,NA
"Academia Publishing"," 
Academia Journal of Pharmacy and Pharmacology (AJPP)","2315-7828","manual","publisher",NA,NA
"Academia Publishing","Academia Journal of Scientific Research (AJSR)","2315-7712","manual","publisher",NA,NA
"Academia Publishing"," 
Academia Journal of Environmental Sciences (AJES)","2315-778X","manual","publisher",NA,NA
"Academia Research",NA,NA,"manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Health, Safety and Enviroments","2360-9311","manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Human Kinetics and Sporting Science","2360-9303","manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Advances in Herbal and Alternative Medicine",NA,"manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Advances in Medical Sciences and Biotechnology",NA,"manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Agricultural Research, Sustainability, and Food Sufficiency","2360-932X","manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Advances in Scientific Research and Reviews","2360-9338","manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Management Sciences",NA,"manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Sustainable Transport and Logistics",NA,"manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Wildlife and Endangered Species Conservation",NA,"manual","publisher",NA,NA
"Academia Scholarly Journals","International Journal of Religions and Traditions","2360-929X","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Academic and Business Ethics ","1941-336X","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Academic and Business Ethics ","2327-7114","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Behavioral Studies in Business "," 1941-5508","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Behavioral Studies in Business ","2327-7114","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Business Cases and Applications","2156-9673","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Business Cases and Applications","2327-7068","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Case Studies in Education","1949-6427","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Case Studies in Education","2327-7084","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Criminal Justice and Legal Issues ","2167-566X","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Criminal Justice and Legal Issues "," 2167-5643","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Finance and Accountancy","1948-3015","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Finance and Accountancy"," 2327-5383","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Instructional Pedagogies","1941-3394","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Instructional Pedagogies","2327-5324","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of International Business and Cultural Studies ","1941-5087","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of International Business and Cultural Studies ","2327-5391","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Management and Marketing Research ","1941-3408","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Management and Marketing Research ","2327-5340","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Technology Research ","1941-3416","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Technology Research ","2327-5359","manual","publisher",NA,NA
"Academic and Business Research Institute","Research in Business and Economics Journal ","1941-3424","manual","publisher",NA,NA
"Academic and Business Research Institute","Research in Business and Economics Journal "," 2327-5405","manual","publisher",NA,NA
"Academic and Business Research Institute","Research in Higher Education Journal  "," 1941-3432","manual","publisher",NA,NA
"Academic and Business Research Institute","Research in Higher Education Journal  ","2327-7092","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Sustainability and Green Business","2156-5317","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Sustainability and Green Business","2156-5325","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Sport Management Research","2167-5627","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Sport Management Research","2167-5600","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Legal Issues and Cases in Business","1949-999X","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Legal Issues and Cases in Business","2327-5332","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Case Studies in Accreditation and Assessment","1941-3386 ","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Case Studies in Accreditation and Assessment"," 2327-7270","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Case Research in Business and Economics"," 1941-3378","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Case Research in Business and Economics","2327-7076","manual","publisher",NA,NA
"Academic and Business Research Institute","Journal of Aviation Management and Education","1947-4008","manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Mathematics and Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Calculus",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Physics Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Industrial Chemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Mechanics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Analytical Biochemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Global Journal of Entomology Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Aquatic Ecology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Biodiversity Conservation",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Cell Biology and Genetics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Applied Chemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Computation Techniques in the Materials Sciences",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Ecohydrology and Climate Change",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Environmental Forensics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Environmental Protection and Management Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Forensic Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Foundation Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of General Microbiology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Histology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Materials Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Marine Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Condensed Matter Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Quantum Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Analytic Geometry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Circuits and Systems",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Molecular Biology Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Nanomaterials",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Forestry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Quantum Mechanics Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Solid-state Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Surface Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Wildlife Ecology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Modern Nonlinear Theory and Application Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Electromagnetic Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Zoology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Textile Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Biophysics Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Optics Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Polymer Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Biological Sciences Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Agricultural Chemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Hazard and Disaster Management",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Global Journal of Soil Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Pure Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Catalyst",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Chemical Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Applications of Discrete Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Research Journal of Thermodynamics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Microscopy and Cytometry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Research Journal of Theoretical Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Atomic, Molecular, and Optical Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Molecular Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Solid-State Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Theoretical Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Astrobiology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Molecular Catalysis",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","American Journal of Cell and Animal Biology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Pure and Applied Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Physics and Astronomy Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Basic and Advanced Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Life Sciences",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Biodiversity and Conservation",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Wildlife Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Sustainable Development Journal",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Analysis",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Advanced Nanomaterials",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Analytical Chemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Applied Electronics and Interfacing",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Biotechnology Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Chemistry and Materials Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Physical Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Organic Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Climate Change and Ecological Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Inorganic Chemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Computational Linear Algebra",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Computational Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","American Journal of Environmental Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Fisheries",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Statistics Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Botany",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","World Journal of Polymer Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Anatomy and Physiology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","American Journal of Pharmacology and Microbiology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Marine Geosciences",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Mathematics and Physical Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Neurochemistry Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Metabolic Biochemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Microbial Ecology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Linear Algebra & Matrix Theory",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Materials Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Optics and Nanophotonics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Mathematical Finance",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Statistics and Mathematics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Instrumentation Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","World Journal of Composite Materials Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Pharmacy",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Research Journal of Game Theory",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Mineral Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Astronomy Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","American Journal of Nanoscience",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Anthropology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Operations Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Biosecurity",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Science and Entrepreneurship",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Natural Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Nuclear Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Fluid Dynamics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Electronics Cooling and Thermal Control",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Transfusion Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Statistical Design and Analysis",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Forest and Mountain Ecology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Astrophysics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Classical Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Food Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Synthetic Chemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Animal Physiology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Chemosphere Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Research Journal of Microbiology and Antimicrobials",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Electrochemical Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Advanced Cell Biology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Biochemistry",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Physical and Analytical Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Natural and Applied Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Administrative Sciences",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Physics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Palaeobotany and Palynology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Chemical Engineering Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Open Journal of Computer Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Engineering and Technology Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Journal of Roads and Highway Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Electrical and Electronics Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Chemical Engineering and Materials Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Civil Engineering and Construction Technology Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Civil Engineering Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","World Journal of Applied Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Petroleum and Gas Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Architectural Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Ceramic Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Journal of Control Science and Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Nuclear Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Aerospace Engineering Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal Agriculture Engineering Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Global Journal of Industrial Engineering & Technology",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Journal of Automotive Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Journal of Civil Mechanical Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Journal of Engineering and Manufacturing Science Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Environmental Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Software Engineering Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Microelectronics and Solid State Electronics",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Research Journal of Mining and Mineral Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Agricultural Process Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Food Process Engineering","2331-7590","manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Postharvest Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Drying Process Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Separation Process Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Grain Storage Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Agro-Industrial Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Psychrometry Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Minerals and Materials Characterization and Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open International Journal of Traffic and Transportation Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Open Journal of Water Resources and Environmental Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Dynamics of Fluids Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Robotic Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","World Journal of Chemistry and Chemical Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Engineering and Computer Innovations",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","World Journal of Mechanical Engineering Science",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Biomedical Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Design Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Digital Signal Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Telecommunication Engineering",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of General Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","International Journal of Construction Engineering and Management Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","Journal of Optoelectronic Engineering Research",NA,"manual","publisher",NA,NA
"Academic and Scientific Publishing","World Journal of Advanced Mechanical Engineering Research",NA,"manual","publisher",NA,NA
